# name	command	mise-id	default	tier	label	description	when-to-use
ripgrep	rg	ripgrep	1	core	ripgrep	Fast recursive text search	Use first for targeted text, symbol, and file-content discovery.
fd	fd	fd	1	core	fd	Fast and convenient file search	Use to locate files by name, extension, type, or directory.
jq	jq	jq	1	core	jq	Query and transform JSON	Use for precise JSON inspection, filtering, validation, and transformation.
yq	yq	yq	1	core	yq	Query and transform YAML	Use for precise YAML inspection, filtering, validation, and transformation.
shellcheck	shellcheck	shellcheck	1	core	ShellCheck	Find problems in shell scripts	Use after shell changes to detect correctness and portability issues.
shfmt	shfmt	shfmt	1	core	shfmt	Format shell scripts consistently with syntax-aware formatting	Use to check or apply consistent shell formatting after edits.
ast-grep	ast-grep	ast-grep	1	core	ast-grep	Search and rewrite code with syntax-aware patterns	Use when syntax-aware matching or a safe structural rewrite is better than text search.
gh	gh	gh	0	advanced	GitHub CLI	Work with GitHub repositories and pull requests	Use for GitHub issues, pull requests, checks, releases, and repository metadata.
sops	sops	sops	0	advanced	SOPS	Encrypt configuration files and secrets	Use for encrypted configuration and secret files without exposing plaintext.
hyperfine	hyperfine	hyperfine	0	advanced	hyperfine	Benchmark commands	Use to compare command performance with repeatable measurements.
just	just	just	0	advanced	just	Run project commands defined in a `justfile`	Use existing project recipes instead of reconstructing their commands manually.
playwright-cli	playwright-cli	npm:@playwright/cli	0	advanced	Playwright CLI	Capture pages and automate browser workflows (requires Node.js 20+)	Use for browser interaction, UI flows, screenshots, and rendered-page checks.
lighthouse	lighthouse	npm:lighthouse	0	advanced	Lighthouse	Audit web performance, accessibility, SEO, and best practices (requires Node.js 22+)	Use for evidence-based audits of a rendered web page.
